病院から薬局への情報提供書をトレーシングレポートという。,false,トレーシングレポートは薬局から病院への情報提供である。[第1回p13]
薬局から病院への情報提供書をトレーシングレポートという。,true,そのとおり。[第1回p13]
前回と同じ処方のことをDo処方という。,true,ちなみに3回まで診察なしで繰り返し使えるリフィル処方箋という制度がある。[第1回p14]
理学療法士は、運動療法や物理療法などを用いた機能回復訓練を行う。,true,作業療法士との違いを覚えようと先生が言ってたよ。[第1回p26]
作業療法士は、運動療法や物理療法などを用いた機能回復訓練を行う。,false,理学療法士の説明。[第1回p26]
病院においてNSTとは感染制御チームのことであり、薬剤師は大きな役割を果たす。,false,NSTは栄養サポートチームである。感染制御チームはICT。[第1回p43]
病院においてASTとは抗菌薬適正使用支援チームのことであり、薬剤師の活躍が期待される。,true,他に感染制御チーム(ICT)、栄養サポートチーム(NST)、褥瘡対策チームなどがある。[第1回p45]
WHOの緩和ケアの定義のひとつに、「延命を目指すためのケアである」とある。,false,「延命を目指す他の治療と結びつく」とはあるが、延命が目的ではない。[第1回p53]
WHOの緩和ケアの定義では、患者だけでなく家族のケアも含まれる。,true,死別後の家族のカウンセリングなども含まれる。[第1回p53]
緩和ケアは終末期の患者に適用される。,false,病気の早い段階にも適用される。[第1回p53]
病院薬剤師同士の連携を「薬薬連携」という。,false,「薬薬連携」とは病院薬剤師と保険薬局薬剤師の連携である。[第1回p56]
薬機法の規制対象は、医薬品、医薬部外品、医療機器、再生医療等製品の4つである。,false,化粧品も含めた5つ。5こ全部覚えてって言ってたよ[第1回p61]
薬機法の規制対象は、医薬品、医薬部外品、化粧品、医療機器、再生医療等製品の5つである。,true,これら5こは覚えてって言ってたよ[第1回p61]
病院とは、入院患者が20人以上の医療施設である。,false,病院とはベッド数が20床以上の医療施設である。19床以下は診療所。[第1回p69]
診療所とは、ベッド数が14床以下の医療施設である。,false,診療所はベッド数が19床以下。20床以上が病院。[第1回p69]
病床には、一般病床、精神病床、感染症病床、結核病床、療養病床の5つがある。,true,病床名を覚えようって言ってたよ。[第1回p69]
精神病床及び療養病床の入院患者数70人につき薬剤師は1人必要である。,false,精神病床・療養病床は入院患者150人に1人。その他の病床は70人に1人。[第1回p70]
通常の病院では、外来処方箋80枚に対し薬剤師1人が必要である。,false,外来処方箋75枚に1人。特定機能病院では調剤数80に1人。[第1回p70]
一般病床に280人が入院し、外来処方箋が150枚である地域医療支援病院(特定機能病院でない)では、6人の薬剤師が必要である。,true,(精神・療養病床の入院患者数/150)+(他の入院患者数/70)+(外来処方箋枚数/75) [第1回p77]
一般病床に280人が入院し、外来処方箋が150枚である地域医療支援病院(特定機能病院でない)では、4人の薬剤師が必要である。,false,6人。(精神・療養病床の入院患者数/150)+(他の入院患者数/70)+(外来処方箋枚数/75) [第1回p77]
チーム医療において、職種ごとにクリニカルパスを作成することは重要である。,false,クリニカルパスとは診療計画表である。みんなで共有しないとおかしいよね[第1回p78]
チーム医療ではチーム内の情報共有のため、患者に提供する説明文書は専門用語で記述する必要がある。,false,患者さん向けなのにそんなわけない。[第1回p79]
リドカインはハイリスク医薬品に含まれる。,true,リドカインは不整脈治療剤であり、心停止のリスクがあるためハイリスク医薬品である。[第2回p22]
グリメピリドは降圧剤であり、ハイリスク医薬品に含まれる。,false,グリメピリドはハイリスク医薬品に含まれるが、降圧剤ではなく血糖降下剤である。[第2回p22]
カルシウム製剤は用法用量を誤ると心停止の恐れがあるため、ハイリスク医薬品に含まれる。,false,カルシウムでなくカリウム製剤である。[第2回p21]
